Player,Year,Team,Pos,G,AB,R,H,B2,B3,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
"Greenberg, H",1938,DET,1B,155,556,144,175,23,4,58,146,119,92,7,5,0.315,0.438,0.683,1.122
"Griffey, K",1998,SEA,CF,161,633,120,180,33,3,56,146,76,121,20,5,0.284,0.365,0.611,0.977
"Helton, T",2001,COL,1B,159,587,132,197,54,2,49,146,98,104,7,5,0.336,0.432,0.685,1.116
"Howard, R",2008,PHI,1B,162,610,105,153,26,4,48,146,81,199,1,1,0.251,0.339,0.543,0.881
"Richardson, H",1890,BSR,OF,130,555,126,181,26,14,13,146,52,46,42,NaN,0.326,0.384,0.494,0.878
"Ruth, B",1926,NYY,OF,152,495,139,184,30,5,47,146,144,76,11,9,0.372,0.516,0.737,1.253
"Delgado, C",2003,TOR,1B,161,570,117,172,38,1,42,145,109,137,0,0,0.302,0.426,0.593,1.019
"Duffy, H",1894,BOS,OF,125,539,160,237,51,16,18,145,66,15,48,NaN,0.44,0.502,0.694,1.196
"Klein, C",1929,PHI,OF,149,616,126,219,45,6,43,145,54,61,5,NaN,0.356,0.407,0.657,1.065
"Martinez, E",2000,SEA,DH,153,556,100,180,31,0,37,145,96,95,3,0,0.324,0.423,0.579,1.002
"Mattingly, D",1985,NYY,1B,159,652,107,211,48,3,35,145,56,41,2,2,0.324,0.371,0.567,0.939
"Ramirez, M",1998,CLE,RF,150,571,108,168,35,2,45,145,76,121,5,3,0.294,0.377,0.599,0.976
"Rosen, A",1953,CLE,3B,155,599,115,201,27,5,43,145,85,48,8,7,0.336,0.422,0.613,1.034
"Williams, T",1939,BOS,OF,149,565,131,185,44,11,31,145,107,64,2,1,0.327,0.436,0.609,1.045
"Castilla, V",1998,COL,3B,162,645,108,206,28,4,46,144,40,89,5,9,0.319,0.362,0.589,0.951
"Dropo, W",1950,BOS,1B,136,559,101,180,28,8,34,144,45,75,0,0,0.322,0.378,0.583,0.961
"Gonzalez, J",1996,TEX,RF,134,541,89,170,33,2,47,144,45,82,2,0,0.314,0.368,0.643,1.011
"Ramirez, M",2005,BOS,LF,152,554,112,162,30,1,45,144,80,119,1,0,0.292,0.388,0.594,0.982
"Stephens, V",1950,BOS,SS,149,628,125,185,34,6,30,144,65,43,1,0,0.295,0.361,0.511,0.872
"Sweeney, M",2000,KC,DH,159,618,105,206,30,0,29,144,71,67,8,3,0.333,0.407,0.523,0.93
"Teixeira, M",2005,TEX,1B,162,644,112,194,41,3,43,144,72,124,4,0,0.301,0.379,0.575,0.954
