playerID,name,pos,height,weight
musian01,Angelo Musi,G,69,145
nailole01,Lee Nailon,F,80,234
nancela01,Larry Nance,F-C,82,205
nattca01,Calvin Natt,F,78,220
nealll01,Lloyd Neal,C-F,79,225
nesbyty01,Tyrone Nesby,F,78,225
neumapa01,Paul Neumann,G,73,175
newblir01,Ira Newble,F,79,220
nimphku01,Kurt Nimphius,C-F,82,218
norriau01,Audie Norris,C,81,230
nostrge01,George Nostrand,C-F,80,195
oaklech01,Charles Oakley,F-C,80,225
obriera01,Ralph OBrien,G,69,160
okurme01,Mehmet Okur,C-F,83,249
olberma01,Mark Olberding,F,80,225
oldhajo01,John Oldham,G,75,175
olivebr01,Brian Oliver,G,76,210
olowomi01,Michael Olowokandi,C,84,269
onealsh01,Shaquille ONeal,C,85,300
orrlo01,Louis Orr,F,80,175
outlatr01,Travis Outlaw,F,81,210
packro01,Robert Pack,G,74,180
padgesc01,Scott Padgett,F,81,240
pargoja01,Jannero Pargo,G,74,170
parkean01,Anthony Parker,G,76,215
parksch02,Cherokee Parks,C-F,83,230
pattepa01,Patrick Patterson,F,81,235
paxsojo01,John Paxson,G,74,185
peelean01,Anthony Peeler,G,76,208
pekovni01,Nikola Pekovic,F,83,243
perkiwa01,Warren Perkins,G-F,75,190
perryel01,Elliot Perry,G,72,150
persoch01,Chuck Person,F,80,220
petermo01,Morris Peterson,G-F,79,215
petrojo01,Johan Petro,C,84,247
phillbo01,Bobby Phills,G,77,210
piatker01,Eric Piatkowski,G-F,79,215
piercri01,Ricky Pierce,F-G,76,205
pippesc01,Scottie Pippen,F-G,79,210
plummga01,Gary Plummer,F-C,81,215
polynol01,Olden Polynice,C-F,83,220
popema01,Mark Pope,F,82,235
porteke01,Kevin Porter,G,72,170
poseyja01,James Posey,G-F,79,215
powele01,Leon Powe,F,80,240
presspa01,Paul Pressey,G-F,77,185
princta01,Tayshaun Prince,F-G,81,215
quinnbr01,Brian Quinnett,F,80,235
radmavl01,Vladimir Radmanovic,F,82,227
randama01,Mark Randall,F,79,230
rasmubl01,Blair Rasmussen,C,84,250
