playerID,name,pos,height,weight,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
leverfa01,Lafayette Lever,G,75,170,116,2917,931,142,317,459,332,211,30,134,233,929,371,192,146,129,43
lewisra02,Rashard Lewis,F,82,215,906,31052,14809,1341,3752,5093,1651,1018,509,1477,2224,11773,5358,2996,2419,4293,1674
lewisre01,Reginald Lewis,G-F,79,195,241,9092,4847,324,827,1151,684,341,267,416,740,4026,1964,1059,899,94,20
lichtto01,Todd Lichti,G-F,76,205,158,2914,1240,128,226,354,209,124,32,159,271,1081,483,314,255,64,19
livinra01,Randy Livingston,G,76,209,203,2684,773,74,208,282,415,121,31,223,297,749,304,170,131,97,34
lohaubr01,Brad Lohaus,C-F,83,230,429,6503,2323,255,822,1077,431,199,318,310,805,2112,905,248,172,925,341
longjo01,John Long,G-F,77,195,57,626,225,15,57,72,39,18,4,38,45,202,81,53,49,40,14
longllu01,Lucien Longley,C,86,260,567,12006,4090,872,1922,2794,836,278,549,942,1730,3647,1685,947,720,5,0
lopezbr01,Brook Lopez,C,84,260,246,8420,4283,692,1170,1862,402,146,410,527,748,3282,1655,1215,973,5,0
lopezra01,Raul Lopez Molist,G,72,180,113,2135,733,31,163,194,428,84,5,221,278,652,280,150,128,130,45
loveke01,Kevin Love,F,82,260,214,6374,3217,831,1673,2504,404,123,101,390,489,2360,1089,1111,914,336,125
lucasjo02,John Lucas,G,71,165,62,500,186,11,30,41,46,22,0,22,44,195,77,21,15,69,17
luety01,Tyronn Lue,G,72,175,554,12571,4710,132,811,943,1727,286,10,659,1057,4039,1765,868,720,1175,460
maccuto01,Todd MacCulloch,C,84,255,223,3439,1369,340,548,888,121,61,177,154,478,1049,568,363,233,0,0
maconma01,Mark Macon,G,76,185,251,5018,1685,173,294,467,428,349,20,323,587,1806,694,358,263,126,34
maggeco01,Corey Maggette,F-G,78,218,777,22215,12623,889,2983,3872,1638,562,136,1798,2213,8520,3899,5343,4391,1344,434
majerda01,Daniel Majerle,G-F,78,215,828,26608,9649,919,2707,3626,2437,1031,314,986,1611,8041,3473,1859,1389,3636,1314
malonma01,Matthew Maloney,G,75,192,295,7470,2177,62,438,500,852,240,14,381,376,1920,783,266,212,1073,399
malonmo01,Moses Malone,C-F,82,215,247,5294,2541,739,990,1729,208,118,166,367,343,1836,848,1056,841,18,4
marcisa01,Raimondas Marciulionis,G,77,200,288,6428,3726,208,390,598,686,365,24,578,741,2552,1282,1370,1045,305,117
mariosh01,Shawn Marion,F,79,215,899,32658,15151,2245,6166,8411,1728,1500,1086,1421,2154,12745,6186,2584,2101,2041,678
marshdo01,Donyell Marshall,F,81,218,958,25031,10716,1898,4478,6376,1305,790,848,1292,2173,9411,4096,2219,1622,2578,902
martica01,Cartier Martin,F,79,220,103,1198,436,52,123,175,47,37,11,44,133,395,149,95,72,181,66
martida01,Darrick Martin,G,71,170,514,9165,3525,101,487,588,1475,340,22,631,894,3108,1186,952,803,1030,350
martije01,Jeffery Martin,G,77,195,74,1334,523,53,78,131,65,37,31,49,104,507,214,100,68,88,27
martike02,Kevin Martin,G,79,185,435,13588,8046,290,1248,1538,868,418,57,793,871,5415,2412,2961,2556,1749,666
masonan01,Anthony Mason,F,79,250,861,30498,9619,1901,5344,7245,2956,646,242,1538,2333,6993,3569,3496,2479,12,2
masonro01,Roger Mason,G,76,199,372,6965,2560,59,615,674,537,144,58,278,546,2303,936,273,236,1188,452
maxieja01,Jason Maxiell,F,79,260,386,6753,2247,673,872,1545,143,141,281,294,731,1686,883,861,481,3,0
maxweve01,Vernon Maxwell,G,76,180,697,20257,9271,279,1491,1770,2315,805,134,1342,1482,8424,3300,1992,1475,3697,1196
mayooj01,Ovinton Mayo,G,76,210,235,8098,3751,152,637,789,649,262,56,501,505,3213,1408,674,558,997,377
mayse01,Sean May,F,81,266,119,1868,821,155,326,481,115,53,47,134,236,708,324,228,170,13,3
mbengdj01,Didier Ilunga-Mbenga,C,84,245,234,1564,414,129,222,351,41,37,141,87,286,383,180,89,54,2,0
mccloge01,George McCloud,G-F,78,205,722,17016,6807,647,1653,2300,1724,574,187,1034,1589,5996,2424,1299,1052,2533,907
mccorti01,Timothy McCormick,C,83,240,78,797,294,70,129,199,41,13,14,53,109,220,107,111,80,3,0
mccraro01,Rodney McCray,F-G,79,220,213,5686,1743,355,831,1186,559,130,96,297,482,1505,699,403,305,129,40
mcdyean01,Antonio McDyess,F-C,81,220,1015,28055,12227,2478,5160,7638,1300,782,1102,1620,3077,10161,5046,3178,2128,60,7
mcgeeja01,JaVale McGee,C-F,84,237,214,4304,1673,431,740,1171,75,90,369,214,509,1298,679,508,315,4,0
mcgratr01,Tracy McGrady,G-F,80,210,886,29822,18108,1277,3845,5122,4051,1120,792,1976,1627,15182,6608,5119,3826,3164,1066
mcilvji01,James McIlvaine,C,85,240,401,5927,1072,479,764,1243,105,136,691,231,1052,948,423,408,225,10,1
mckeyde01,Derrick McKey,F-C,81,205,693,19971,7013,1063,2043,3106,1741,810,397,1225,1952,5610,2698,1883,1458,500,159
mcleoke01,Keith McLeod,G,74,190,200,3723,1105,40,228,268,536,145,27,250,359,1018,363,400,320,209,59
mcrobjo01,Joshua McRoberts,F,82,240,155,2427,804,177,416,593,212,77,89,126,281,625,328,170,117,94,31
meeksjo01,Jodie Meeks,G,76,208,134,2781,1055,30,240,270,117,81,9,85,149,838,346,209,183,480,180
milicda01,Darko Milicic,F-C,84,245,438,8166,2681,592,1280,1872,388,197,588,539,1005,2472,1138,697,405,6,0
millean02,Andre Miller,G,74,200,978,33610,14071,1183,2818,4001,7031,1328,193,2569,2366,11293,5180,4426,3573,678,138
millemi01,Michael Miller,F,80,211,733,23231,9676,550,3152,3702,2288,483,206,1366,1691,7664,3544,1679,1290,3215,1298
milleol01,Oliver Miller,C-F,81,280,493,11338,3625,940,1953,2893,1061,454,758,913,1460,2874,1536,858,548,43,5
millsch01,Christopher Mills,F,78,215,568,17282,6357,772,2036,2808,1063,421,247,726,1532,5541,2391,1391,1136,1251,439
millste01,Terry Mills,F,82,230,678,16422,7175,1029,2651,3680,891,397,296,851,1896,6227,2847,1214,948,1387,533
moblecu01,Cuttino Mobley,G,76,190,747,27612,11964,543,2359,2902,2015,878,313,1520,1709,9979,4319,2684,2241,2867,1085
moisoje01,Jerome Moiso,F,82,232,145,1392,386,126,269,395,38,45,68,104,183,323,158,118,70,3,0
moncrsi01,Sidney Moncrief,G,75,180,72,1096,337,31,97,128,104,50,9,66,112,240,117,105,82,64,21
montrer01,Eric Montross,C,84,270,465,8480,2071,716,1443,2159,207,122,275,405,1270,1819,891,604,289,3,0
moonja01,Jamario Moon,F,80,205,278,6330,1789,199,1006,1205,286,228,231,139,419,1544,716,227,182,529,175
morriad01,Adam Morrison,F,80,205,161,3279,1200,82,260,342,222,40,12,172,273,1252,467,200,142,375,124
mortojo01,John Morton,G,75,180,91,1477,463,47,82,129,275,74,19,135,135,367,156,177,145,28,6
motenla01,Lawrence Moten,G,76,185,119,1814,747,80,101,181,182,77,32,126,143,701,286,178,116,197,59
mournal01,Alonzo Mourning,C,82,240,838,25977,14309,2184,4953,7137,946,414,2356,2209,2810,9701,5116,5860,4055,89,22
murdoer01,Eric Murdock,G,73,190,508,11882,5118,339,922,1261,2467,830,69,991,981,4310,1889,1329,1044,863,296
murphtr01,Troy Murphy,F,83,245,656,18715,7604,1326,4148,5474,1030,453,272,853,1763,6167,2748,1957,1535,1475,573
murraro01,Ronald Murray,G,76,190,487,11080,4817,192,815,1007,1096,404,100,742,795,4360,1806,1210,877,1079,328
mustaje01,Terrah Mustaf,F-C,82,238,179,1902,721,145,307,452,99,55,46,144,237,635,285,233,151,2,0
nachbbo01,Bostjan Nachbar,F,81,221,318,5633,2254,127,710,837,283,135,83,280,697,1835,745,559,439,867,325
nailole01,Lee Nailon,F,80,234,306,5819,2622,379,557,936,298,133,53,320,596,2366,1121,482,379,9,1
nancela01,Larry Nance,F-C,82,205,271,9469,4550,675,1576,2251,741,227,696,363,738,3528,1877,982,794,18,2
nashst01,Stephen Nash,G,75,195,1090,34168,15877,587,2698,3285,9251,824,87,3092,1841,11767,5754,3102,2804,3644,1565
nealyed01,Eddie Nealy,F,79,238,148,1386,352,81,245,326,88,52,8,43,132,287,133,74,53,93,33
nesbyty01,Tyrone Nesby,F,78,225,255,6658,2431,295,646,941,370,264,93,269,667,2271,918,523,404,604,191
newblir01,Ira Newble,F,79,220,380,7650,1930,403,711,1114,342,204,105,289,695,1752,782,361,281,249,85
newmajo01,John Newman,F-G,79,190,862,21603,9349,674,1236,1910,1257,766,183,1211,2415,7033,3244,3012,2430,1242,431
normake01,Kenneth Norman,F,80,215,430,12203,5570,864,1685,2549,840,289,272,674,941,4975,2374,1104,602,694,220
novakst01,Steven Novak,F,82,220,226,2190,895,32,215,247,61,35,15,37,144,723,320,46,41,513,214
oaklech01,Charles Oakley,F-C,80,225,898,27912,7521,2443,5370,7813,2207,962,260,1657,3094,6418,2949,1997,1581,173,42
okurme01,Mehmet Okur,C-F,83,249,617,17977,8431,1239,3116,4355,1059,320,449,966,1770,6477,2976,2391,1906,1518,573
olivebr01,Brian Oliver,G,76,210,118,1182,389,31,92,123,114,45,6,78,121,400,155,105,74,22,5
olowomi01,Michael Olowokandi,C,84,269,500,13130,4135,951,2463,3414,327,226,697,898,1518,4109,1788,936,559,0,0
onealsh01,Shaquille ONeal,C,85,300,1207,41922,28596,4209,8890,13099,3026,739,2732,3310,4146,19457,11330,11252,5935,22,1
outlabo01,Charles Outlaw,F-C,80,210,914,20739,4970,1685,2752,4437,1441,855,1193,1056,2164,3534,2005,1837,957,38,3
outlatr01,Travis Outlaw,F,81,210,482,11014,4565,408,1276,1684,431,281,333,447,872,4035,1731,1115,830,793,273
pachuza01,Zaur Pachulia,F-C,83,240,579,11290,3923,1161,1814,2975,501,361,212,733,1524,2867,1319,1757,1285,14,0
packro01,Robert Pack,G,74,180,552,11462,4921,261,851,1112,2556,605,43,1320,1041,4090,1739,1689,1329,390,114
padgesc01,Scott Padgett,F,81,240,448,5613,1874,402,825,1227,325,182,86,253,681,1658,679,375,276,644,240
pargoja01,Jannero Pargo,G,74,170,379,5953,2509,93,478,571,764,198,22,441,517,2521,978,323,278,787,275
parkean01,Anthony Parker,G,76,215,444,12473,4111,231,1205,1436,1009,401,78,445,727,3418,1520,650,525,1336,546
parksch02,Cherokee Parks,C-F,83,230,472,7459,2056,564,1139,1703,265,207,306,281,931,1848,868,495,312,38,8
pattepa01,Patrick Patterson,F,81,235,52,868,328,86,114,200,41,17,37,31,77,267,149,42,30,2,0
pavloal01,Aleksandar Pavlovic,F,79,210,482,7803,2540,178,694,872,466,227,78,426,907,2391,969,489,334,764,268
paxsojo01,John Paxson,G,74,185,247,5290,1581,48,207,255,707,156,16,150,395,1366,709,100,81,203,82
payneke01,Kenneth Payne,F-G,80,195,109,951,394,34,110,144,51,31,16,47,92,424,171,46,39,48,13
peelean01,Anthony Peeler,G,76,208,827,20464,8017,564,1572,2136,1956,775,138,1019,1670,7255,3101,1095,875,2445,940
pekovni01,Nikola Pekovic,F,83,243,65,887,359,90,103,193,27,18,35,91,181,263,136,114,87,0,0
perduwi01,William Perdue,C,84,240,685,11286,3380,1314,2345,3659,538,203,494,733,1401,2603,1377,1104,625,10,1
perryel01,Elliot Perry,G,72,150,549,9501,3449,185,557,742,1699,574,20,780,707,2945,1353,773,605,384,138
perryti01,Timothy Perry,F-C,81,200,359,8210,2772,587,1040,1627,401,181,360,407,677,2314,1105,717,472,284,90
persoch01,Chuck Person,F,80,220,625,17452,7733,553,2036,2589,1522,384,135,1053,1492,6871,3050,985,678,2597,955
peterji01,James Petersen,F-C,82,235,89,1003,322,81,164,245,36,18,47,53,188,276,132,86,57,6,1
petermo01,Morris Peterson,G-F,79,215,711,19369,7628,569,1914,2483,1091,639,136,716,1606,6567,2747,1456,1125,2702,1009
petrojo01,Johan Petro,C,84,247,383,5985,1844,435,1066,1501,166,162,204,312,988,1746,819,317,206,8,0
phillbo01,Bobby Phills,G,77,210,467,13426,5153,411,1058,1469,1246,592,139,711,1106,4416,1957,1215,897,878,342
piatker01,Eric Piatkowski,G-F,79,215,789,14614,5919,508,1208,1716,778,404,115,628,1152,4711,2044,1152,966,2168,865
piercri01,Ricky Pierce,F-G,76,205,486,11834,7315,354,711,1065,975,404,62,766,992,5594,2643,2007,1798,666,231
pippesc01,Scottie Pippen,F-G,79,210,944,33858,15916,1665,4539,6204,5266,1866,733,2649,2556,13119,6184,3669,2623,2790,925
plummga01,Gary Plummer,F-C,81,215,60,737,281,53,120,173,40,14,11,78,141,228,106,95,69,3,0
polynol01,Olden Polynice,C-F,83,220,817,21884,7335,2382,3892,6274,675,422,574,1008,2269,6314,3192,1798,947,20,4
popema01,Mark Pope,F,82,235,153,1637,285,92,169,261,63,32,45,47,242,289,116,75,43,56,10
poseyja01,James Posey,G-F,79,215,864,23254,7419,755,3306,4061,1413,917,299,981,2330,6091,2495,1701,1394,2967,1035
powele01,Leon Powe,F,80,240,238,3320,1484,380,535,915,78,69,82,189,503,951,490,739,504,5,0
poweljo01,Josh Powell,F,81,225,315,3948,1222,331,596,927,161,49,67,253,490,1130,496,300,223,20,7
presspa01,Paul Pressey,G-F,77,185,144,2710,758,80,222,302,443,103,56,217,296,653,290,201,159,82,19
