bioID,useFirst,lastName,pos,height,weight,college,hsState,race,GP,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
gibsota01,Taj,Gibson,F,81,225,USC,CA,B,225,23.2444,7.9467,2.3244,3.9022,0.7778,0.5156,1.2933,1.0889,2.7378,6.8222,3.3111,2.0356,1.32,0.0356,0.0044
gilled01,Eddie,Gill,G,72,190,Weber State,CO,B,187,10.8556,3.0535,0.1497,0.9572,1.1604,0.5561,0.0749,0.7433,1.1176,2.6524,0.9572,0.9465,0.8021,1.0535,0.3369
gilliar01,Armon,Gilliam,F-C,81,230,UNLV,PA,B,724,27.7182,13.0359,2.2196,4.4475,1.1948,0.6837,0.6906,1.7624,2.0414,10.0898,4.895,4.0898,3.2459,0.0207,0
gillke01,Kendall,Gill,G,77,195,Illinois,IL,B,966,30.5186,13.3685,1.3188,2.824,3.0487,1.5725,0.4472,1.795,2.6035,12.0828,5.2464,3.382,2.5497,1.088,0.3261
ginobem01,Manu,Ginobili,F,78,210,none,,W,667,27.8996,15.1634,0.7856,3.1694,3.925,1.4753,0.3388,2.0855,2.2309,10.7481,4.8591,4.7091,3.931,4.0555,1.5142
giricgo01,Gordan,Giricek,F,77,210,none,,W,384,22.9766,9.5573,0.4349,2.0156,1.5208,0.5781,0.1224,1.3464,1.9505,8.3958,3.7083,1.6875,1.388,2.0469,0.7526
glassge01,Gerald,Glass,G-F,77,221,Mississippi,MS,B,201,16.6517,7.7264,1.1343,1.4129,1.4826,0.6468,0.2886,0.8905,1.796,7.8756,3.4129,1.199,0.7711,0.5473,0.1294
glovedi01,Dion,Glover,G,77,220,Georgia Tech,GA,B,294,20.8537,8.1871,0.7245,2.3265,1.5476,0.7925,0.2211,1.2585,1.6565,7.5578,3.1088,1.9388,1.466,1.5884,0.5034
gminsmi01,Mike,Gminski,C,83,250,Duke,CT,W,178,18.2865,6.882,1.5674,3.2584,0.7978,0.3652,0.5449,0.7247,1.0506,6.7022,2.9494,1.2022,0.9663,0.0955,0.0169
goldwan01,Anthony,Goldwire,G,73,175,Houston,FL,B,266,18.6128,6.2669,0.2707,1.0789,2.7707,0.6278,0.0338,0.9925,1.4586,5.3571,2.1805,1.4286,1.1316,2.0038,0.7744
gomesry01,Ryan,Gomes,F,79,250,Providence,CT,B,482,27.8548,10.2075,1.2801,3.361,1.4751,0.7282,0.1618,1.139,1.9419,8.7988,3.917,2.1037,1.6805,1.9793,0.6929
goodedr01,Drew,Gooden,F,82,230,Kansas,CA,B,671,27.4441,12.0104,2.5768,5.1222,1.2116,0.7452,0.6572,1.6259,2.611,10.2146,4.7586,3.1863,2.4188,0.3279,0.0745
gordobe01,Ben,Gordon,G,75,200,Connecticut,NY,B,594,29.8586,16.4916,0.5168,2.2306,2.7879,0.7576,0.1599,2.2559,2.5387,13.3502,5.8165,3.6684,3.1498,4.2155,1.7088
gordoer01,Eric,Gordon,G,75,222,Indiana,IN,B,205,35.7463,18.1902,0.5707,2.1122,3.2976,1.1268,0.3463,2.3561,1.9659,13.5317,6.1122,5.1805,4.1805,4.8244,1.7854
gortama01,Marcin,Gortat,F-C,83,240,none,,W,296,20.5,8.0541,1.8277,4.7027,0.5473,0.4054,1.0608,0.8243,1.9696,6.0912,3.3784,1.9155,1.2905,0.0338,0.0068
grahagr01,Greg,Graham,G,76,174,Indiana,IN,B,207,12.2222,4.5314,0.285,0.7729,0.971,0.6184,0.058,0.8647,1.029,3.9275,1.599,1.4155,1.0966,0.8164,0.2367
grahajo01,Joey,Graham,F,79,225,Oklahoma State,FL,B,377,16.2255,5.939,0.7215,2.0849,0.5491,0.3554,0.1141,0.8196,2.1326,4.7109,2.2732,1.5332,1.2493,0.4775,0.1432
grahapa01,Paul,Graham,F-G,78,200,Ohio University,PA,B,179,18.7374,8.3743,0.7654,1.6536,1.9665,1.0391,0.1788,1.2067,2.1732,7.257,3.2514,1.7765,1.3128,1.648,0.5587
